date,oblast,alert_hours,year,month,weekday
2022-03-29,Chernihivska oblast,11,2022,3,Tuesday
2022-03-29,Chernivetska oblast,7,2022,3,Tuesday
2022-03-29,Dnipropetrovska oblast,8,2022,3,Tuesday
2022-03-29,Donetska oblast,8,2022,3,Tuesday
2022-03-29,Ivano-Frankivska oblast,8,2022,3,Tuesday
2022-03-29,Kharkivska oblast,14,2022,3,Tuesday
2022-03-29,Khersonska oblast,0,2022,3,Tuesday
2022-03-29,Khmelnytska oblast,9,2022,3,Tuesday
2022-03-29,Kirovohradska oblast,10,2022,3,Tuesday
2022-03-29,Kyiv City,15,2022,3,Tuesday
2022-03-29,Kyivska oblast,15,2022,3,Tuesday
2022-03-29,Lvivska oblast,9,2022,3,Tuesday
2022-03-29,Mykolaivska oblast,8,2022,3,Tuesday
2022-03-29,Odeska oblast,5,2022,3,Tuesday
2022-03-29,Poltavska oblast,12,2022,3,Tuesday
2022-03-29,Rivnenska oblast,11,2022,3,Tuesday
2022-03-29,Sumska oblast,6,2022,3,Tuesday
2022-03-29,Ternopilska oblast,10,2022,3,Tuesday
2022-03-29,Vinnytska oblast,11,2022,3,Tuesday
2022-03-29,Volynska oblast,11,2022,3,Tuesday
2022-03-29,Zakarpatska oblast,5,2022,3,Tuesday
2022-03-29,Zaporizka oblast,7,2022,3,Tuesday
2022-03-29,Zhytomyrska oblast,15,2022,3,Tuesday
2022-03-30,Cherkaska oblast,3,2022,3,Wednesday
2022-03-30,Chernihivska oblast,9,2022,3,Wednesday
2022-03-30,Chernivetska oblast,1,2022,3,Wednesday
2022-03-30,Dnipropetrovska oblast,12,2022,3,Wednesday
2022-03-30,Donetska oblast,13,2022,3,Wednesday
2022-03-30,Ivano-Frankivska oblast,3,2022,3,Wednesday
2022-03-30,Kharkivska oblast,12,2022,3,Wednesday
2022-03-30,Khersonska oblast,0,2022,3,Wednesday
2022-03-30,Khmelnytska oblast,3,2022,3,Wednesday
2022-03-30,Kirovohradska oblast,3,2022,3,Wednesday
2022-03-30,Kyiv City,11,2022,3,Wednesday
2022-03-30,Kyivska oblast,13,2022,3,Wednesday
2022-03-30,Lvivska oblast,4,2022,3,Wednesday
2022-03-30,Mykolaivska oblast,4,2022,3,Wednesday
2022-03-30,Odeska oblast,3,2022,3,Wednesday
2022-03-30,Poltavska oblast,7,2022,3,Wednesday
2022-03-30,Rivnenska oblast,5,2022,3,Wednesday
2022-03-30,Sumska oblast,3,2022,3,Wednesday
2022-03-30,Ternopilska oblast,5,2022,3,Wednesday
2022-03-30,Vinnytska oblast,4,2022,3,Wednesday
2022-03-30,Volynska oblast,5,2022,3,Wednesday
2022-03-30,Zakarpatska oblast,1,2022,3,Wednesday
2022-03-30,Zaporizka oblast,4,2022,3,Wednesday
2022-03-30,Zhytomyrska oblast,13,2022,3,Wednesday
2022-03-31,Cherkaska oblast,3,2022,3,Thursday
2022-03-31,Chernihivska oblast,24,2022,3,Thursday
2022-03-31,Chernivetska oblast,2,2022,3,Thursday
2022-03-31,Dnipropetrovska oblast,9,2022,3,Thursday
2022-03-31,Donetska oblast,16,2022,3,Thursday
2022-03-31,Ivano-Frankivska oblast,2,2022,3,Thursday
2022-03-31,Kharkivska oblast,8,2022,3,Thursday
2022-03-31,Khersonska oblast,0,2022,3,Thursday
2022-03-31,Khmelnytska oblast,5,2022,3,Thursday
2022-03-31,Kirovohradska oblast,5,2022,3,Thursday
2022-03-31,Kyiv City,6,2022,3,Thursday
2022-03-31,Kyivska oblast,4,2022,3,Thursday
2022-03-31,Lvivska oblast,2,2022,3,Thursday
2022-03-31,Mykolaivska oblast,13,2022,3,Thursday
2022-03-31,Odeska oblast,8,2022,3,Thursday
2022-03-31,Poltavska oblast,10,2022,3,Thursday
2022-03-31,Rivnenska oblast,3,2022,3,Thursday
2022-03-31,Sumska oblast,5,2022,3,Thursday
2022-03-31,Ternopilska oblast,2,2022,3,Thursday
2022-03-31,Vinnytska oblast,3,2022,3,Thursday
2022-03-31,Volynska oblast,3,2022,3,Thursday
2022-03-31,Zakarpatska oblast,2,2022,3,Thursday
2022-03-31,Zaporizka oblast,7,2022,3,Thursday
2022-03-31,Zhytomyrska oblast,6,2022,3,Thursday
2022-04-01,Cherkaska oblast,6,2022,4,Friday
2022-04-01,Chernihivska oblast,8,2022,4,Friday
2022-04-01,Chernivetska oblast,1,2022,4,Friday
2022-04-01,Dnipropetrovska oblast,4,2022,4,Friday
2022-04-01,Donetska oblast,5,2022,4,Friday
2022-04-01,Ivano-Frankivska oblast,2,2022,4,Friday
2022-04-01,Kharkivska oblast,7,2022,4,Friday
2022-04-01,Khersonska oblast,0,2022,4,Friday
2022-04-01,Khmelnytska oblast,1,2022,4,Friday
2022-04-01,Kirovohradska oblast,6,2022,4,Friday
2022-04-01,Kyiv City,4,2022,4,Friday
2022-04-01,Kyivska oblast,4,2022,4,Friday
2022-04-01,Lvivska oblast,2,2022,4,Friday
2022-04-01,Mykolaivska oblast,7,2022,4,Friday
2022-04-01,Odeska oblast,4,2022,4,Friday
2022-04-01,Poltavska oblast,4,2022,4,Friday
